question,answer,questionLink,answerLink
Georgia,Tbilisi|Tiflis,https://en.wikipedia.org/wiki/Georgia_(country),https://en.wikipedia.org/wiki/Tbilisi
Germany,Berlin,https://en.wikipedia.org/wiki/Germany,https://en.wikipedia.org/wiki/Berlin
Ghana,Accra,https://en.wikipedia.org/wiki/Ghana,https://en.wikipedia.org/wiki/Accra
Greece,Athens,https://en.wikipedia.org/wiki/Greece,https://en.wikipedia.org/wiki/Athens
Grenada,St. George's|Saint George's,https://en.wikipedia.org/wiki/Grenada,"https://en.wikipedia.org/wiki/St._George%27s,_Grenada"
Guatemala,Guatemala City|Guatemala,https://en.wikipedia.org/wiki/Guatemala,https://en.wikipedia.org/wiki/Guatemala_City
Guinea,Conakry,https://en.wikipedia.org/wiki/Guinea,https://en.wikipedia.org/wiki/Conakry
Guinea-Bissau,Bissau,https://en.wikipedia.org/wiki/Guinea-Bissau,https://en.wikipedia.org/wiki/Bissau
Guyana,Georgetown,https://en.wikipedia.org/wiki/Guyana,"https://en.wikipedia.org/wiki/Georgetown,_Guyana"
Haiti,Port-au-Prince,https://en.wikipedia.org/wiki/Haiti,https://en.wikipedia.org/wiki/Port-au-Prince
Honduras,Tegucigalpa,https://en.wikipedia.org/wiki/Honduras,https://en.wikipedia.org/wiki/Tegucigalpa
Hungary,Budapest,https://en.wikipedia.org/wiki/Hungary,https://en.wikipedia.org/wiki/Budapest
Iceland,Reykjavík,https://en.wikipedia.org/wiki/Iceland,https://en.wikipedia.org/wiki/Reykjavík
India,New Delhi,https://en.wikipedia.org/wiki/India,https://en.wikipedia.org/wiki/New_Delhi
Indonesia,Jakarta,https://en.wikipedia.org/wiki/Indonesia,https://en.wikipedia.org/wiki/Jakarta
Iran,Tehran,https://en.wikipedia.org/wiki/Iran,https://en.wikipedia.org/wiki/Tehran
Iraq,Baghdad,https://en.wikipedia.org/wiki/Iraq,https://en.wikipedia.org/wiki/Baghdad
Ireland,Dublin,https://en.wikipedia.org/wiki/Republic_of_Ireland,https://en.wikipedia.org/wiki/Dublin
Israel,Jerusalem,https://en.wikipedia.org/wiki/Israel,https://en.wikipedia.org/wiki/Jerusalem
Italy,Rome,https://en.wikipedia.org/wiki/Italy,https://en.wikipedia.org/wiki/Rome
Jamaica,Kingston,https://en.wikipedia.org/wiki/Jamaica,"https://en.wikipedia.org/wiki/Kingston,_Jamaica"
Japan,Tokyo,https://en.wikipedia.org/wiki/Japan,https://en.wikipedia.org/wiki/Tokyo
Jordan,Amman,https://en.wikipedia.org/wiki/Jordan,https://en.wikipedia.org/wiki/Amman
Kazakhstan,Astana|Nur-Sultan,https://en.wikipedia.org/wiki/Kazakhstan,https://en.wikipedia.org/wiki/Astana
Kenya,Nairobi,https://en.wikipedia.org/wiki/Kenya,https://en.wikipedia.org/wiki/Nairobi
Kiribati,Tarawa,https://en.wikipedia.org/wiki/Kiribati,https://en.wikipedia.org/wiki/Tarawa
Kosovo,Pristina|Prishtina,https://en.wikipedia.org/wiki/Kosovo,https://en.wikipedia.org/wiki/Pristina
Kuwait,Kuwait City|Kuwait,https://en.wikipedia.org/wiki/Kuwait,https://en.wikipedia.org/wiki/Kuwait_City
Kyrgyzstan,Bishkek,https://en.wikipedia.org/wiki/Kyrgyzstan,https://en.wikipedia.org/wiki/Bishkek
Laos,Vientiane,https://en.wikipedia.org/wiki/Laos,https://en.wikipedia.org/wiki/Vientiane
Latvia,Riga,https://en.wikipedia.org/wiki/Latvia,https://en.wikipedia.org/wiki/Riga
Lebanon,Beirut,https://en.wikipedia.org/wiki/Lebanon,https://en.wikipedia.org/wiki/Beirut
Lesotho,Maseru,https://en.wikipedia.org/wiki/Lesotho,https://en.wikipedia.org/wiki/Maseru
Liberia,Monrovia,https://en.wikipedia.org/wiki/Liberia,https://en.wikipedia.org/wiki/Monrovia
Libya,Tripoli,https://en.wikipedia.org/wiki/Libya,"https://en.wikipedia.org/wiki/Tripoli,_Libya"
Liechtenstein,Vaduz,https://en.wikipedia.org/wiki/Liechtenstein,https://en.wikipedia.org/wiki/Vaduz
Lithuania,Vilnius,https://en.wikipedia.org/wiki/Lithuania,https://en.wikipedia.org/wiki/Vilnius
Luxembourg,Luxembourg|Luxembourg City,https://en.wikipedia.org/wiki/Luxembourg,https://en.wikipedia.org/wiki/Luxembourg_City
Madagascar,Antananarivo|Tana,https://en.wikipedia.org/wiki/Madagascar,https://en.wikipedia.org/wiki/Antananarivo
Malawi,Lilongwe,https://en.wikipedia.org/wiki/Malawi,https://en.wikipedia.org/wiki/Lilongwe
Malaysia,Kuala Lumpur,https://en.wikipedia.org/wiki/Malaysia,https://en.wikipedia.org/wiki/Kuala_Lumpur
Maldives,Malé,https://en.wikipedia.org/wiki/Maldives,https://en.wikipedia.org/wiki/Malé
Mali,Bamako,https://en.wikipedia.org/wiki/Mali,https://en.wikipedia.org/wiki/Bamako
Malta,Valletta|Città Umilissima,https://en.wikipedia.org/wiki/Malta,https://en.wikipedia.org/wiki/Valletta
Marshall Islands,Majuro,https://en.wikipedia.org/wiki/Marshall_Islands,https://en.wikipedia.org/wiki/Majuro
Mauritania,Nouakchott,https://en.wikipedia.org/wiki/Mauritania,https://en.wikipedia.org/wiki/Nouakchott
Mauritius,Port Louis,https://en.wikipedia.org/wiki/Mauritius,https://en.wikipedia.org/wiki/Port_Louis
Mexico,Mexico City|Mexico|Ciudad de Mexico,https://en.wikipedia.org/wiki/Mexico,https://en.wikipedia.org/wiki/Mexico_City
Micronesia,Palikir,https://en.wikipedia.org/wiki/Federated_States_of_Micronesia,https://en.wikipedia.org/wiki/Palikir
Moldova,Chișinău|Kishinev,https://en.wikipedia.org/wiki/Moldova,https://en.wikipedia.org/wiki/Chișinău
Monaco,Monaco|Monaco City,https://en.wikipedia.org/wiki/Monaco,https://en.wikipedia.org/wiki/Monaco_City
Mongolia,Ulaanbaatar|Ulan Bator,https://en.wikipedia.org/wiki/Mongolia,https://en.wikipedia.org/wiki/Ulaanbaatar
Montenegro,Podgorica,https://en.wikipedia.org/wiki/Montenegro,https://en.wikipedia.org/wiki/Podgorica
Morocco,Rabat,https://en.wikipedia.org/wiki/Morocco,https://en.wikipedia.org/wiki/Rabat
Mozambique,Maputo,https://en.wikipedia.org/wiki/Mozambique,https://en.wikipedia.org/wiki/Maputo
Myanmar,Naypyidaw|Nay Pyi Taw,https://en.wikipedia.org/wiki/Myanmar,https://en.wikipedia.org/wiki/Naypyidaw
Namibia,Windhoek,https://en.wikipedia.org/wiki/Namibia,https://en.wikipedia.org/wiki/Windhoek
Nauru,Yaren|Yaren District|None|Nowhere|Nothing,https://en.wikipedia.org/wiki/Nauru,https://en.wikipedia.org/wiki/Yaren_District
Nepal,Kathmandu|Katmandu,https://en.wikipedia.org/wiki/Nepal,https://en.wikipedia.org/wiki/Kathmandu
Netherlands,Amsterdam,https://en.wikipedia.org/wiki/Netherlands,https://en.wikipedia.org/wiki/Amsterdam
New Zealand,Wellington,https://en.wikipedia.org/wiki/New_Zealand,https://en.wikipedia.org/wiki/Wellington
Nicaragua,Managua,https://en.wikipedia.org/wiki/Nicaragua,https://en.wikipedia.org/wiki/Managua
Niger,Niamey,https://en.wikipedia.org/wiki/Niger,https://en.wikipedia.org/wiki/Niamey
Nigeria,Abuja,https://en.wikipedia.org/wiki/Nigeria,https://en.wikipedia.org/wiki/Abuja
North Korea,Pyongyang,https://en.wikipedia.org/wiki/North_Korea,https://en.wikipedia.org/wiki/Pyongyang
North Macedonia,Skopje,https://en.wikipedia.org/wiki/North_Macedonia,https://en.wikipedia.org/wiki/Skopje
Norway,Oslo,https://en.wikipedia.org/wiki/Norway,https://en.wikipedia.org/wiki/Oslo
Oman,Muscat,https://en.wikipedia.org/wiki/Oman,https://en.wikipedia.org/wiki/Muscat
Pakistan,Islamabad,https://en.wikipedia.org/wiki/Pakistan,https://en.wikipedia.org/wiki/Islamabad
Palau,Ngerulmud,https://en.wikipedia.org/wiki/Palau,https://en.wikipedia.org/wiki/Ngerulmud
Palestine,Ramallah,https://en.wikipedia.org/wiki/Palestine,https://en.wikipedia.org/wiki/Ramallah
Panama,Panama City|Panama,https://en.wikipedia.org/wiki/Panama,https://en.wikipedia.org/wiki/Panama_City
Papua New Guinea,Port Moresby|Moresby,https://en.wikipedia.org/wiki/Papua_New_Guinea,https://en.wikipedia.org/wiki/Port_Moresby
Paraguay,Asunción,https://en.wikipedia.org/wiki/Paraguay,https://en.wikipedia.org/wiki/Asunción
Peru,Lima,https://en.wikipedia.org/wiki/Peru,https://en.wikipedia.org/wiki/Lima
Philippines,Manila,https://en.wikipedia.org/wiki/Philippines,https://en.wikipedia.org/wiki/Manila
Poland,Warsaw,https://en.wikipedia.org/wiki/Poland,https://en.wikipedia.org/wiki/Warsaw
Portugal,Lisbon,https://en.wikipedia.org/wiki/Portugal,https://en.wikipedia.org/wiki/Lisbon
Qatar,Doha,https://en.wikipedia.org/wiki/Qatar,https://en.wikipedia.org/wiki/Doha
Republic of the Congo,Brazzaville,https://en.wikipedia.org/wiki/Republic_of_the_Congo,https://en.wikipedia.org/wiki/Brazzaville
Romania,Bucharest,https://en.wikipedia.org/wiki/Romania,https://en.wikipedia.org/wiki/Bucharest
Russia,Moscow,https://en.wikipedia.org/wiki/Russia,https://en.wikipedia.org/wiki/Moscow
Rwanda,Kigali,https://en.wikipedia.org/wiki/Rwanda,https://en.wikipedia.org/wiki/Kigali
Saint Kitts and Nevis,Basseterre,https://en.wikipedia.org/wiki/Saint_Kitts_and_Nevis,https://en.wikipedia.org/wiki/Basseterre
Saint Lucia,Castries,https://en.wikipedia.org/wiki/Saint_Lucia,https://en.wikipedia.org/wiki/Castries
Saint Vincent and the Grenadines,Kingstown,https://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines,https://en.wikipedia.org/wiki/Kingstown
Samoa,Apia,https://en.wikipedia.org/wiki/Samoa,https://en.wikipedia.org/wiki/Apia
San Marino,San Marino|San Marino City|City of San Marino,https://en.wikipedia.org/wiki/San_Marino,https://en.wikipedia.org/wiki/City_of_San_Marino
São Tomé and Príncipe,São Tomé,https://en.wikipedia.org/wiki/São_Tomé_and_Príncipe,https://en.wikipedia.org/wiki/São_Tomé
Saudi Arabia,Riyadh,https://en.wikipedia.org/wiki/Saudi_Arabia,https://en.wikipedia.org/wiki/Riyadh
Senegal,Dakar,https://en.wikipedia.org/wiki/Senegal,https://en.wikipedia.org/wiki/Dakar
Serbia,Belgrade,https://en.wikipedia.org/wiki/Serbia,https://en.wikipedia.org/wiki/Belgrade
Seychelles,Victoria,https://en.wikipedia.org/wiki/Seychelles,"https://en.wikipedia.org/wiki/Victoria,_Seychelles"
Sierra Leone,Freetown,https://en.wikipedia.org/wiki/Sierra_Leone,https://en.wikipedia.org/wiki/Freetown
Singapore,Singapore,https://en.wikipedia.org/wiki/Singapore,https://en.wikipedia.org/wiki/Singapore
Slovakia,Bratislava,https://en.wikipedia.org/wiki/Slovakia,https://en.wikipedia.org/wiki/Bratislava
Slovenia,Ljubljana,https://en.wikipedia.org/wiki/Slovenia,https://en.wikipedia.org/wiki/Ljubljana
Solomon Islands,Honiara,https://en.wikipedia.org/wiki/Solomon_Islands,https://en.wikipedia.org/wiki/Honiara
Somalia,Mogadishu,https://en.wikipedia.org/wiki/Somalia,https://en.wikipedia.org/wiki/Mogadishu
South Africa,Bloemfontein||Cape Town||Pretoria,https://en.wikipedia.org/wiki/South_Africa,https://en.wikipedia.org/wiki/Bloemfontein|https://en.wikipedia.org/wiki/Cape_Town|https://en.wikipedia.org/wiki/Pretoria
South Korea,Seoul,https://en.wikipedia.org/wiki/South_Korea,https://en.wikipedia.org/wiki/Seoul
South Sudan,Juba,https://en.wikipedia.org/wiki/South_Sudan,https://en.wikipedia.org/wiki/Juba
Spain,Madrid,https://en.wikipedia.org/wiki/Spain,https://en.wikipedia.org/wiki/Madrid
Sri Lanka,Sri Jayawardenepura Kotte|Kotte|Jayapura,https://en.wikipedia.org/wiki/Sri_Lanka,https://en.wikipedia.org/wiki/Sri_Jayawardenepura_Kotte
Sudan,Khartoum|Khartum,https://en.wikipedia.org/wiki/Sudan,https://en.wikipedia.org/wiki/Khartoum
Suriname,Paramaribo,https://en.wikipedia.org/wiki/Suriname,https://en.wikipedia.org/wiki/Paramaribo
Sweden,Stockholm,https://en.wikipedia.org/wiki/Sweden,https://en.wikipedia.org/wiki/Stockholm
Switzerland,Bern,https://en.wikipedia.org/wiki/Switzerland,https://en.wikipedia.org/wiki/Bern
Syria,Damascus,https://en.wikipedia.org/wiki/Syria,https://en.wikipedia.org/wiki/Damascus
Taiwan,Taipei|Taipei City,https://en.wikipedia.org/wiki/Taiwan,https://en.wikipedia.org/wiki/Taipei
Tajikistan,Dushanbe,https://en.wikipedia.org/wiki/Tajikistan,https://en.wikipedia.org/wiki/Dushanbe
Tanzania,Dodoma|Dodoma City,https://en.wikipedia.org/wiki/Tanzania,https://en.wikipedia.org/wiki/Dodoma
Thailand,Bangkok|Krung Thep Maha Nakhon|Krung Thep,https://en.wikipedia.org/wiki/Thailand,https://en.wikipedia.org/wiki/Bangkok
The Gambia,Banjul,https://en.wikipedia.org/wiki/The_Gambia,https://en.wikipedia.org/wiki/Banjul
Timor-Leste,Dili,https://en.wikipedia.org/wiki/Timor-Leste,https://en.wikipedia.org/wiki/Dili
Togo,Lomé,https://en.wikipedia.org/wiki/Togo,https://en.wikipedia.org/wiki/Lomé
Tonga,Nukuʻalofa,https://en.wikipedia.org/wiki/Tonga,https://en.wikipedia.org/wiki/Nukuʻalofa
Trinidad and Tobago,Port of Spain,https://en.wikipedia.org/wiki/Trinidad_and_Tobago,https://en.wikipedia.org/wiki/Port_of_Spain
Tunisia,Tunis,https://en.wikipedia.org/wiki/Tunisia,https://en.wikipedia.org/wiki/Tunis
Türkiye,Ankara,https://en.wikipedia.org/wiki/Turkey,https://en.wikipedia.org/wiki/Ankara
Turkmenistan,Ashgabat,https://en.wikipedia.org/wiki/Turkmenistan,https://en.wikipedia.org/wiki/Ashgabat
Tuvalu,Funafuti,https://en.wikipedia.org/wiki/Tuvalu,https://en.wikipedia.org/wiki/Funafuti
Uganda,Kampala,https://en.wikipedia.org/wiki/Uganda,https://en.wikipedia.org/wiki/Kampala
Ukraine,Kyiv|Kiev,https://en.wikipedia.org/wiki/Ukraine,https://en.wikipedia.org/wiki/Kyiv
United Arab Emirates,Abu Dhabi,https://en.wikipedia.org/wiki/United_Arab_Emirates,https://en.wikipedia.org/wiki/Abu_Dhabi
United Kingdom,London,https://en.wikipedia.org/wiki/United_Kingdom,https://en.wikipedia.org/wiki/London
United States,"Washington, D.C.|Washington|District of Columbia|D.C.",https://en.wikipedia.org/wiki/United_States,"https://en.wikipedia.org/wiki/Washington,_D.C."
Uruguay,Montevideo,https://en.wikipedia.org/wiki/Uruguay,https://en.wikipedia.org/wiki/Montevideo
Uzbekistan,Tashkent|Toshkent,https://en.wikipedia.org/wiki/Uzbekistan,https://en.wikipedia.org/wiki/Tashkent
Vanuatu,Port Vila,https://en.wikipedia.org/wiki/Vanuatu,https://en.wikipedia.org/wiki/Port_Vila
Vatican City,Vatican City|Vatican,https://en.wikipedia.org/wiki/Vatican_City,https://en.wikipedia.org/wiki/Vatican_City
Venezuela,Caracas,https://en.wikipedia.org/wiki/Venezuela,https://en.wikipedia.org/wiki/Caracas
Vietnam,Hanoi,https://en.wikipedia.org/wiki/Vietnam,https://en.wikipedia.org/wiki/Hanoi
Yemen,Sana'a|Sana,https://en.wikipedia.org/wiki/Yemen,https://en.wikipedia.org/wiki/Sanaa
Zambia,Lusaka,https://en.wikipedia.org/wiki/Zambia,https://en.wikipedia.org/wiki/Lusaka
Zimbabwe,Harare,https://en.wikipedia.org/wiki/Zimbabwe,https://en.wikipedia.org/wiki/Harare
