question,questionSubtitle,answer,answerLink,isItalic
1944,"17th Academy Awards, 1945",Going My Way,https://en.wikipedia.org/wiki/Going_My_Way,TRUE
1945,"18th Academy Awards, 1946",The Lost Weekend,https://en.wikipedia.org/wiki/The_Lost_Weekend,TRUE
1946,"19th Academy Awards, 1947",The Best Years of Our Lives,https://en.wikipedia.org/wiki/The_Best_Years_of_Our_Lives,TRUE
1947,"20th Academy Awards, 1948",Gentleman's Agreement,https://en.wikipedia.org/wiki/Gentleman%27s_Agreement,TRUE
1948,"21st Academy Awards, 1949",Hamlet,https://en.wikipedia.org/wiki/Hamlet_(1948_film),TRUE
1949,"22nd Academy Awards, 1950",All the King's Men,https://en.wikipedia.org/wiki/All_the_King%27s_Men_(1949_film),TRUE
1950,"23rd Academy Awards, 1951",All About Eve,https://en.wikipedia.org/wiki/All_About_Eve,TRUE
1951,"24th Academy Awards, 1952",An American in Paris,https://en.wikipedia.org/wiki/An_American_in_Paris_(film),TRUE
1952,"25th Academy Awards, 1953",The Greatest Show on Earth,https://en.wikipedia.org/wiki/The_Greatest_Show_on_Earth_(film),TRUE
1953,"26th Academy Awards, 1954",From Here to Eternity,https://en.wikipedia.org/wiki/From_Here_to_Eternity,TRUE
1954,"27th Academy Awards, 1955",On the Waterfront,https://en.wikipedia.org/wiki/On_the_Waterfront,TRUE
1955,"28th Academy Awards, 1956",Marty,https://en.wikipedia.org/wiki/Marty_(film),TRUE
1956,"29th Academy Awards, 1957",Around the World in 80 Days|Around the World in Eighty Days,https://en.wikipedia.org/wiki/Around_the_World_in_80_Days_(1956_film),TRUE
1957,"30th Academy Awards, 1958",The Bridge on the River Kwai,https://en.wikipedia.org/wiki/The_Bridge_on_the_River_Kwai,TRUE
1958,"31st Academy Awards, 1959",Gigi,https://en.wikipedia.org/wiki/Gigi_(1958_film),TRUE
1959,"32nd Academy Awards, 1960",Ben-Hur,https://en.wikipedia.org/wiki/Ben-Hur_(1959_film),TRUE
1960,"33rd Academy Awards, 1961",The Apartment,https://en.wikipedia.org/wiki/The_Apartment,TRUE
1961,"34th Academy Awards, 1962",West Side Story,https://en.wikipedia.org/wiki/West_Side_Story_(1961_film),TRUE
1962,"35th Academy Awards, 1963",Lawrence of Arabia,https://en.wikipedia.org/wiki/Lawrence_of_Arabia_(film),TRUE
1963,"36th Academy Awards, 1964",Tom Jones,https://en.wikipedia.org/wiki/Tom_Jones_(1963_film),TRUE
1964,"37th Academy Awards, 1965",My Fair Lady,https://en.wikipedia.org/wiki/My_Fair_Lady_(film),TRUE
1965,"38th Academy Awards, 1966",The Sound of Music,https://en.wikipedia.org/wiki/The_Sound_of_Music_(film),TRUE
1966,"39th Academy Awards, 1967",A Man for All Seasons,https://en.wikipedia.org/wiki/A_Man_for_All_Seasons_(1966_film),TRUE
1967,"40th Academy Awards, 1968",In the Heat of the Night,https://en.wikipedia.org/wiki/In_the_Heat_of_the_Night_(film),TRUE
1968,"41st Academy Awards, 1969",Oliver!,https://en.wikipedia.org/wiki/Oliver!_(film),TRUE
1969,"42nd Academy Awards, 1970",Midnight Cowboy,https://en.wikipedia.org/wiki/Midnight_Cowboy,TRUE
1970,"43rd Academy Awards, 1971",Patton,https://en.wikipedia.org/wiki/Patton_(film),TRUE
1971,"44th Academy Awards, 1972",The French Connection,https://en.wikipedia.org/wiki/The_French_Connection_(film),TRUE
1972,"45th Academy Awards, 1973",The Godfather,https://en.wikipedia.org/wiki/The_Godfather,TRUE
1973,"46th Academy Awards, 1974",The Sting,https://en.wikipedia.org/wiki/The_Sting,TRUE
1974,"47th Academy Awards, 1975",The Godfather Part II|The Godfather Part 2||The Godfather II|The Godfather 2||The Godfather Part Two|The Godfather Two,https://en.wikipedia.org/wiki/The_Godfather_Part_II,TRUE
1975,"48th Academy Awards, 1976",One Flew Over the Cuckoo's Nest,https://en.wikipedia.org/wiki/One_Flew_Over_the_Cuckoo%27s_Nest_(film),TRUE
1976,"49th Academy Awards, 1977",Rocky,https://en.wikipedia.org/wiki/Rocky,TRUE
1977,"50th Academy Awards, 1978",Annie Hall,https://en.wikipedia.org/wiki/Annie_Hall,TRUE
1978,"51st Academy Awards, 1979",The Deer Hunter,https://en.wikipedia.org/wiki/The_Deer_Hunter,TRUE
1979,"52nd Academy Awards, 1980",Kramer vs. Kramer|Kramer versus Kramer|Kramer v Kramer,https://en.wikipedia.org/wiki/Kramer_vs._Kramer,TRUE
1980,"53rd Academy Awards, 1981",Ordinary People,https://en.wikipedia.org/wiki/Ordinary_People,TRUE
1981,"54th Academy Awards, 1982",Chariots of Fire,https://en.wikipedia.org/wiki/Chariots_of_Fire,TRUE
1982,"55th Academy Awards, 1983",Gandhi,https://en.wikipedia.org/wiki/Gandhi_(film),TRUE
1983,"56th Academy Awards, 1984",Terms of Endearment,https://en.wikipedia.org/wiki/Terms_of_Endearment,TRUE
1984,"57th Academy Awards, 1985",Amadeus,https://en.wikipedia.org/wiki/Amadeus_(film),TRUE
1985,"58th Academy Awards, 1986",Out of Africa,https://en.wikipedia.org/wiki/Out_of_Africa_(film),TRUE
1986,"59th Academy Awards, 1987",Platoon,https://en.wikipedia.org/wiki/Platoon_(film),TRUE
1987,"60th Academy Awards, 1988",The Last Emperor,https://en.wikipedia.org/wiki/The_Last_Emperor,TRUE
1988,"61st Academy Awards, 1989",Rain Man,https://en.wikipedia.org/wiki/Rain_Man,TRUE
1989,"62nd Academy Awards, 1990",Driving Miss Daisy,https://en.wikipedia.org/wiki/Driving_Miss_Daisy,TRUE
1990,"63rd Academy Awards, 1991",Dances With Wolves,https://en.wikipedia.org/wiki/Dances_With_Wolves,TRUE
1991,"64th Academy Awards, 1992",The Silence of the Lambs,https://en.wikipedia.org/wiki/The_Silence_of_the_Lambs_(film),TRUE
1992,"65th Academy Awards, 1993",Unforgiven,https://en.wikipedia.org/wiki/Unforgiven,TRUE
1993,"66th Academy Awards, 1994",Schindler's List,https://en.wikipedia.org/wiki/Schindler%27s_List,TRUE
1994,"67th Academy Awards, 1995",Forrest Gump,https://en.wikipedia.org/wiki/Forrest_Gump,TRUE
1995,"68th Academy Awards, 1996",Braveheart,https://en.wikipedia.org/wiki/Braveheart,TRUE
1996,"69th Academy Awards, 1997",The English Patient,https://en.wikipedia.org/wiki/The_English_Patient_(film),TRUE
1997,"70th Academy Awards, 1998",Titanic,https://en.wikipedia.org/wiki/Titanic_(1997_film),TRUE
1998,"71st Academy Awards, 1999",Shakespeare in Love,https://en.wikipedia.org/wiki/Shakespeare_in_Love,TRUE
1999,"72nd Academy Awards, 2000",American Beauty,https://en.wikipedia.org/wiki/American_Beauty_(1999_film),TRUE
2000,"73rd Academy Awards, 2001",Gladiator,https://en.wikipedia.org/wiki/Gladiator_(2000_film),TRUE
2001,"74th Academy Awards, 2002",A Beautiful Mind,https://en.wikipedia.org/wiki/A_Beautiful_Mind_(film),TRUE
2002,"75th Academy Awards, 2003",Chicago,https://en.wikipedia.org/wiki/Chicago_(2002_film),TRUE
2003,"76th Academy Awards, 2004",The Lord of the Rings: The Return of the King|The Return of the King|LotR RotK|Lord of the Rings 2||Lord of the Rings Two|Lord of the Rings II,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,TRUE
2004,"77th Academy Awards, 2005",Million Dollar Baby,https://en.wikipedia.org/wiki/Million_Dollar_Baby,TRUE
2005,"78th Academy Awards, 2006",Crash,https://en.wikipedia.org/wiki/Crash_(2004_film),TRUE
2006,"79th Academy Awards, 2007",The Departed,https://en.wikipedia.org/wiki/The_Departed,TRUE
2007,"80th Academy Awards, 2008",No Country for Old Men,https://en.wikipedia.org/wiki/No_Country_for_Old_Men,TRUE
2008,"81st Academy Awards, 2009",Slumdog Millionaire,https://en.wikipedia.org/wiki/Slumdog_Millionaire,TRUE
2009,"82nd Academy Awards, 2010",The Hurt Locker,https://en.wikipedia.org/wiki/The_Hurt_Locker,TRUE
2010,"83rd Academy Awards, 2011",The King's Speech,https://en.wikipedia.org/wiki/The_King%27s_Speech,TRUE
2011,"84th Academy Awards, 2012",The Artist,https://en.wikipedia.org/wiki/The_Artist_(film),TRUE
2012,"85th Academy Awards, 2013",Argo,https://en.wikipedia.org/wiki/Argo_(2012_film),TRUE
2013,"86th Academy Awards, 2014",12 Years a Slave|Twelve Years a Slave,https://en.wikipedia.org/wiki/12_Years_a_Slave_(film),TRUE
2014,"87th Academy Awards, 2015",Birdman|Birdman or (The Unexpected Virtue of Ignorance)|The Unexpected Virtue of Ignorance,https://en.wikipedia.org/wiki/Birdman_(film),TRUE
2015,"88th Academy Awards, 2016",Spotlight,https://en.wikipedia.org/wiki/Spotlight_(film),TRUE
2016,"89th Academy Awards, 2017",Moonlight,https://en.wikipedia.org/wiki/Moonlight_(2016_film),TRUE
2017,"90th Academy Awards, 2018",The Shape of Water,https://en.wikipedia.org/wiki/The_Shape_of_Water,TRUE
2018,"91st Academy Awards, 2019",Green Book,https://en.wikipedia.org/wiki/Green_Book_(film),TRUE
2019,"92nd Academy Awards, 2020",Parasite,https://en.wikipedia.org/wiki/Parasite_(2019_film),TRUE
2020,"93rd Academy Awards, 2021",Nomadland,https://en.wikipedia.org/wiki/Nomadland,TRUE
2021,"94th Academy Awards, 2022",CODA,https://en.wikipedia.org/wiki/CODA_(2021_film),TRUE
2022,"95th Academy Awards, 2023",Everything Everywhere All at Once|EEAAO,https://en.wikipedia.org/wiki/Everything_Everywhere_All_at_Once,TRUE
2023,"96th Academy Awards, 2024",Oppenheimer,https://en.wikipedia.org/wiki/Oppenheimer_(film),TRUE
2024,"97th Academy Awards, 2025",Anora,https://en.wikipedia.org/wiki/Anora,TRUE
